"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Igfbp41",1.70186091062827e-38,0.3040745724355,0.463,0.182,2.71804206036441e-34,"TA.G2","Igfbp4"
"Prim11",2.00905710690149e-38,0.385450863329855,0.468,0.192,3.20866510543237e-34,"TA.G2","Prim1"
"Tipin1",2.43465406122828e-38,0.403044015709473,0.478,0.203,3.88838600118768e-34,"TA.G2","Tipin"
"Arl6ip1",4.12496335197645e-38,0.561905480573716,0.8,0.515,6.58797896944159e-34,"TA.G2","Arl6ip1"
"Nhp22",4.37635971358305e-38,0.395132035672445,0.92,0.651,6.98948409856348e-34,"TA.G2","Nhp2"
"Rad54l1",7.98623048752085e-38,0.314925051224088,0.246,0.069,1.27548087116196e-33,"TA.G2","Rad54l"
"Cenpp",8.48405588102099e-38,0.305767877916901,0.271,0.082,1.35498856475786e-33,"TA.G2","Cenpp"
"Rpl261",8.60911718278481e-38,0.286817715582541,0.993,0.975,1.37496210526256e-33,"TA.G2","Rpl26"
"D030056L22Rik",1.44653322373368e-37,0.377118534041782,0.341,0.12,2.31025821162506e-33,"TA.G2","D030056L22Rik"
"Cdca5",2.36249878025238e-37,0.25219280670381,0.215,0.055,3.77314680194107e-33,"TA.G2","Cdca5"
"Hat11",3.02046284663298e-37,0.449078708745953,0.498,0.223,4.82398121235753e-33,"TA.G2","Hat1"
"Hells1",3.44321645376123e-37,0.362679375664693,0.388,0.147,5.49916099830207e-33,"TA.G2","Hells"
"Nap1l11",6.56635314450261e-37,0.356556709406376,0.478,0.204,1.04871226070851e-32,"TA.G2","Nap1l1"
"Nudc1",6.90056154741057e-37,0.393168236200552,0.829,0.528,1.10208868473694e-32,"TA.G2","Nudc"
"Cbx51",1.13326261920339e-36,0.356164802721494,0.49,0.216,1.80993372912973e-32,"TA.G2","Cbx5"
"Melk",1.24668033118469e-36,0.322246710493967,0.285,0.091,1.99107315693507e-32,"TA.G2","Melk"
"Rpl321",3.17334741940722e-36,0.307301276273243,0.998,0.987,5.06815316353527e-32,"TA.G2","Rpl32"
"Psip1",6.13752040878326e-36,0.366365290523304,0.361,0.135,9.80223384486774e-32,"TA.G2","Psip1"
"Anp32e",7.70893851673369e-36,0.400407602993629,0.622,0.321,1.23119457050754e-31,"TA.G2","Anp32e"
"Npm13",7.81421710126114e-36,0.365743560894241,0.966,0.814,1.24800861324242e-31,"TA.G2","Npm1"
"Sap30",9.78885808085499e-36,0.40202746508018,0.515,0.243,1.56337852409335e-31,"TA.G2","Sap30"
"Rps141",1.17789492706675e-35,0.280974472140298,0.998,0.996,1.8812159880183e-31,"TA.G2","Rps14"
"Rnaseh2a1",1.4208830695104e-35,0.416803644589414,0.573,0.294,2.26929235031507e-31,"TA.G2","Rnaseh2a"
"Fen11",1.91845414766677e-35,0.332863858436353,0.454,0.192,3.0639631192386e-31,"TA.G2","Fen1"
"Prdx42",3.89554102929188e-35,0.396441478066048,0.715,0.407,6.22156857788207e-31,"TA.G2","Prdx4"
"Cenph1",4.02449232780817e-35,0.338286611169039,0.266,0.083,6.42751669674243e-31,"TA.G2","Cenph"
"Tnfaip8l1",4.07103360276242e-35,0.3144210426466,0.3,0.1,6.50184776697186e-31,"TA.G2","Tnfaip8l1"
"Kcne33",5.82523208098538e-35,0.39568637350883,0.846,0.529,9.30347815654175e-31,"TA.G2","Kcne3"
"Rangap11",8.92223450549958e-35,0.364413260166572,0.517,0.235,1.42497007287334e-30,"TA.G2","Rangap1"
"Sypl1",1.17241070275445e-34,0.428371400463323,0.885,0.604,1.87245713336913e-30,"TA.G2","Sypl"
"Casc5",1.33259035546481e-34,0.30018675952658,0.185,0.045,2.12828005671284e-30,"TA.G2","Casc5"
