"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"CG1648.6",9.03762137900734e-14,-0.712781457346611,0.101,0.37,8.42215936309694e-10,"8","CG1648"
"RpL23A.1",9.32639864967311e-14,-0.290035066709904,0.982,0.982,8.69127090163037e-10,"8","RpL23A"
"TrpA1.6",1.25710759426532e-13,-0.819068654454744,0.083,0.35,1.17149856709585e-09,"8","TrpA1"
"CG6218.5",1.5036991030647e-13,-0.906183415746051,0.396,0.589,1.40129719414599e-09,"8","CG6218"
"GC1.1",2.17344868667655e-13,0.334909403399853,0.343,0.141,2.02543683111388e-09,"8","GC1"
"mamo.6",2.77377631432409e-13,-0.546401984917743,0.509,0.715,2.58488214731862e-09,"8","mamo"
"CG34330.5",4.23069029741448e-13,-0.584153168181326,0.87,0.945,3.94258028816056e-09,"8","CG34330"
"Decay.7",4.54689867215671e-13,0.355810081303437,0.751,0.486,4.23725487258283e-09,"8","Decay"
"CG8312",4.82072704730439e-13,0.275964193287794,0.29,0.107,4.49243553538296e-09,"8","CG8312"
"Lasp",5.65609663449469e-13,0.426254846047209,0.592,0.33,5.2709164536856e-09,"8","Lasp"
"Lamp1.1",6.01690228437015e-13,-0.348573145512795,0.935,0.948,5.60715123880454e-09,"8","Lamp1"
"RpS19a.1",6.59436478862856e-13,-0.31798198893542,0.959,0.968,6.14528854652295e-09,"8","RpS19a"
"CG1275.4",8.6650862745881e-13,-0.463592518962778,0.55,0.724,8.07499389928865e-09,"8","CG1275"
"AstA-R2.8",1.06607739044396e-12,-0.885005226573492,0.053,0.299,9.93477520154728e-09,"8","AstA-R2"
"alphaTub84B.3",1.39381576899286e-12,-0.336161890103256,0.964,0.975,1.29889691512445e-08,"8","alphaTub84B"
"Jon65Aiii.5",1.40287191016445e-12,0.315589708054237,0.272,0.1,1.30733633308225e-08,"8","Jon65Aiii"
"CG15614.3",1.52842539568654e-12,-0.622064525678457,0.118,0.368,1.42433962624028e-08,"8","CG15614"
"Ef1beta.2",1.57010417297302e-12,-0.412823990013253,0.828,0.873,1.46318007879356e-08,"8","Ef1beta"
"nrv1.3",1.61841462853594e-12,0.379059050197563,0.704,0.472,1.50820059233264e-08,"8","nrv1"
"CG17570.7",1.70135329220732e-12,-0.808959060611706,0.172,0.427,1.585491133008e-08,"8","CG17570"
"noe.3",1.71181430511956e-12,0.306512980491216,0.278,0.103,1.59523975094091e-08,"8","noe"
"CG9555.6",1.85435798457599e-12,-1.00206813573494,0.041,0.289,1.72807620582636e-08,"8","CG9555"
"RpS28b.2",2.04391901559861e-12,-0.255680437522246,0.97,0.987,1.90472813063634e-08,"8","RpS28b"
"mthl10.7",2.87263686260345e-12,-0.614435282865982,0.03,0.267,2.67701029226016e-08,"8","mthl10"
"CG8177.5",2.93156342413457e-12,-0.779309183578041,0.095,0.339,2.73192395495101e-08,"8","CG8177"
"Sod.6",5.24854198651913e-12,-0.356417559875063,0.976,0.958,4.89111627723718e-08,"8","Sod"
"RpS18.1",7.66577042971442e-12,-0.280255019193458,0.947,0.973,7.14373146345087e-08,"8","RpS18"
"Sap-r.2",8.21558119411318e-12,-0.372139721250908,0.722,0.828,7.65610011479407e-08,"8","Sap-r"
"nAChRalpha5.7",8.55224130936317e-12,-1.45619097797789,0.036,0.266,7.96983367619554e-08,"8","nAChRalpha5"
"CG43066.6",8.69101444293611e-12,0.26173176212156,0.331,0.137,8.09915635937216e-08,"8","CG43066"
"CG14662.8",1.1393220992023e-11,-1.01785995021066,0.024,0.248,1.06173426424662e-07,"8","CG14662"
"RpS3.2",1.1971430302989e-11,-0.292759365826746,0.959,0.966,1.11561758993554e-07,"8","RpS3"
"CG13004",1.40281046953117e-11,0.256502746050074,0.183,0.056,1.3072790765561e-07,"8","CG13004"
"eIF-4a",1.68645995205081e-11,-0.252377319099096,0.994,0.986,1.57161202931615e-07,"8","eIF-4a"
